COD_ITEM        Cont04	Cont08	Cont12	Cont16	Cont26	Cont52	ContAno	ContTt      Total Geral         Metodo     MetEst       Md04    Md08      Md12        Md16          Md26         Md52       MdAno       MdTt          Máximo       TP_Metodo              Metodo      MetEst       Estoque    Reposição      Fx_Giro                                       Giro                                                                                        
021.001.024     3	     7	    10	    14	    20	    40	    39	    92          10.785              120        1.920        120     120       120         90            120          120        120         120           300          1.ORDINÁRIOS           120         1.920        1.350      570            E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                                     
303.007.002     4	     8	    12	    16	    26	    52	    50	    116         20.985              180        2.880        150     165       165         180           180          180        180         180           420          1.ORDINÁRIOS           180         2.880        3.150      0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                                   
303.002.004     3	     7	    11	    15	    24	    50	    48	    109         16.740              180        2.880        180     120       150         120           120          180        180         150           420          1.ORDINÁRIOS           180         2.880        1.080      1.800          D.ATÉ DOIS MESES DE ESTOQUE                   6,0                                                                                                       
002.000.010     4	     8	    12	    16	    26	    52	    50	    111         50.798              506        8.096        421     442       442         480           506          486        492         468           870          1.ORDINÁRIOS           506         8.096        9.897      0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                                   
002.000.011     4	     8	    12	    15	    22	    46	    44	    107         699                 6          96           4       5         5           5             5            6          6           5             40           1.ORDINÁRIOS           6           96           131        0              G.ATÉ DOZE MESES DE ESTOQUE                   22,0                                                                                   
022.001.012     4	     8	    12	    16	    25	    51	    49	    117         11.175              180        2.880        161     180       169         151           127          116        122         84            228          1.ORDINÁRIOS           180         2.880        1.783      1.097          E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                                      
021.004.006     1	     2	    3	    3	    6	    21	    20	    48          97                  2          32           7       4         1           1             1            2          2           2             7            2.INTERMITENTES        2           32           6          26             C.ATÉ UM MÊS DE ESTOQUE                       3,0                                                                                
002.000.134     4	     8	    12	    16	    26	    52	    50	    116         1.021               9          144          9       8         8           8             7            8          8           8             30           1.ORDINÁRIOS           9           144          2          142            B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                   
301.004.002     0	     2	    2	    2	    5	    16	    16	    35          1.002               19         304          0       15        15          15            15           30         30          30            60           2.INTERMITENTES        19          304          510        0              G.ATÉ DOZE MESES DE ESTOQUE                   27,0                                                                                            
002.000.082     4	     8	    12	    16	    26	    52	    50	    118         96.169              792        12.672       628     605       605         628           708          770        770         792           1.387        1.ORDINÁRIOS           792         12.672       12.680     0              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                         
