COD_ITEM        Cont04	Cont08	Cont12	Cont16	Cont26	Cont52	ContAno	ContTt      Total Geral         Metodo     MetEst       Md04    Md08      Md12        Md16          Md26         Md52       MdAno       MdTt          Máximo       TP_Metodo              Metodo      MetEst       Estoque    Reposição      Fx_Giro                                       Giro                                                                                        
325.001.002     0	     1	    1	    1	    1	    2	    2	    2           90                  2          32           0       60        60          60            60           45         45          45            60           2.INTERMITENTES        2           32           210        0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    105,0                                                                                                         
305.002.004     4	     8	    12	    16	    23	    42	    41	    93          6.675               125        2.000        95      100       125         125           100          65         70          60            240          1.ORDINÁRIOS           125         2.000        3.160      0              G.ATÉ DOZE MESES DE ESTOQUE                   25,0                                                                                                
325.016.001     0	     0	    1	    1	    1	    2	    1	    3           3                   0          0            0       0         1           1             1            1          1           1             1            2.INTERMITENTES        0           0            0          0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                 
021.001.073     0	     1	    1	    1	    3	    8	    7	    22          1.560               30         480          0       90        90          90            90           90         90          90            90           2.INTERMITENTES        30          480          390        90             F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                               
328.001.001     0	     0	    0	    0	    0	    0	    0	    2           2                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
022.001.013     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
230.001.016     0	     0	    0	    0	    0	    0	    0	    2           180                 0          0            0       0         0           0             0            0          0           90            150          3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
228.001.004     2	     4	    7	    10	    16	    20	    20	    30          1.275               25         400          60      68        60          45            30           45         45          30            90           2.INTERMITENTES        25          400          120        280            D.ATÉ DOIS MESES DE ESTOQUE                   5,0                                                                                              
003.000.018     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.065     0	     0	    0	    0	    1	    1	    1	    1           14                  0          0            0       0         0           0             14           14         14          14            14           3.INATIVOS             0           0            18         0              I.INATIVOS COM ESTOQUE                        0,0                                                                              
230.001.003     4	     8	    12	    16	    26	    52	    50	    94          788                 12         192          8       12        12          12            12           9          9           8             18           1.ORDINÁRIOS           12          192          113        79             E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                       
306.002.004     0	     0	    0	    0	    0	    0	    0	    1           10                  0          0            0       0         0           0             0            0          0           10            10           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
306.001.005     0	     0	    0	    0	    1	    1	    1	    1           5                   0          0            0       0         0           0             5            5          5           5             5            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.001.003     0	     0	    0	    0	    0	    1	    1	    1           30                  0          0            0       0         0           0             0            30         30          30            30           3.INATIVOS             0           0            30         0              I.INATIVOS COM ESTOQUE                        0,0                                                                             
021.001.112     0	     0	    0	    0	    1	    1	    1	    1           1                   0          0            0       0         0           0             1            1          1           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.048.001     0	     0	    0	    0	    0	    1	    1	    1           28                  0          0            0       0         0           0             0            28         28          28            28           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
321.001.097     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.048.002     0	     1	    1	    2	    2	    2	    2	    2           45                  1          16           0       30        30          23            23           23         23          23            30           2.INTERMITENTES        1           16           1.755      0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    1.755,0                                                                                                           
040.001.001     0	     0	    0	    0	    0	    0	    0	    1           32                  0          0            0       0         0           0             0            0          0           32            32           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.011.001     0	     0	    0	    0	    0	    2	    2	    2           27                  0          0            0       0         0           0             0            14         14          14            18           3.INATIVOS             0           0            9          0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
325.008.001     0	     0	    0	    0	    0	    0	    0	    1           180                 0          0            0       0         0           0             0            0          0           180           180          3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
010.001.009     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
563.001.002     0	     0	    0	    0	    1	    1	    1	    1           60                  0          0            0       0         0           0             60           60         60          60            60           3.INATIVOS             0           0            1          0              I.INATIVOS COM ESTOQUE                        0,0                                                                             
325.005.001     0	     0	    0	    0	    0	    0	    0	    2           60                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
022.001.015     0	     0	    0	    0	    0	    0	    0	    2           31                  0          0            0       0         0           0             0            0          0           16            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
311.002.005     3	     5	    7	    8	    12	    19	    19	    36          83                  2          32           2       2         2           3             2            2          2           2             6            2.INTERMITENTES        2           32           18         14             E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                     
325.021.001     1	     3	    5	    6	    7	    12	    12	    12          16                  0          0            2       2         2           2             1            1          1           1             2            2.INTERMITENTES        0           0            43         0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                  
010.001.011     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.088     0	     0	    1	    1	    1	    1	    1	    2           60                  1          16           0       0         30          30            30           30         30          30            30           2.INTERMITENTES        1           16           0          16             B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                        
329.003.001     0	     0	    0	    0	    0	    1	    1	    2           102                 0          0            0       0         0           0             0            42         42          51            60           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.004.002     0	     0	    0	    0	    0	    0	    0	    8           240                 0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            60         0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
311.002.006     0	     0	    0	    0	    0	    0	    0	    4           49                  0          0            0       0         0           0             0            0          0           13            14           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
330.001.001     0	     0	    0	    0	    0	    0	    0	    1           28                  0          0            0       0         0           0             0            0          0           28            28           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.035     4	     8	    12	    16	    25	    49	    47	    95          642                 13         208          10      13        11          11            9            7          8           6             24           1.ORDINÁRIOS           13          208          54         154            C.ATÉ UM MÊS DE ESTOQUE                       4,0                                                                                  
311.001.022     0	     0	    0	    0	    0	    0	    0	    5           10                  0          0            0       0         0           0             0            0          0           2             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
311.001.012     1	     3	    4	    5	    8	    15	    14	    21          49                  1          16           2       2         2           2             2            2          2           2             5            2.INTERMITENTES        1           16           8          8              D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                   
311.001.029     0	     0	    0	    0	    0	    0	    0	    1           2                   0          0            0       0         0           0             0            0          0           2             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
311.001.004     4	     7	    9	    13	    19	    32	    31	    50          123                 2          32           2       1         2           2             2            2          2           2             8            1.ORDINÁRIOS           2           32           6          26             C.ATÉ UM MÊS DE ESTOQUE                       3,0                                                                             
311.001.005     2	     4	    6	    9	    13	    13	    13	    14          28                  2          32           2       2         2           2             2            2          2           2             2            4.RECENTES             2           32           2          30             C.ATÉ UM MÊS DE ESTOQUE                       1,0                                                                             
311.001.015     1	     2	    3	    4	    4	    6	    6	    12          32                  1          16           2       2         2           2             2            2          2           2             4            2.INTERMITENTES        1           16           0          16             B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                   
311.001.006     2	     4	    8	    8	    12	    14	    14	    19          44                  1          16           3       3         2           2             2            2          2           2             6            2.INTERMITENTES        1           16           5          11             D.ATÉ DOIS MESES DE ESTOQUE                   5,0                                                                                    
311.001.011     0	     0	    0	    0	    0	    0	    0	    11          18                  0          0            0       0         0           0             0            0          0           2             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
311.001.023     0	     0	    0	    0	    0	    4	    4	    8           13                  0          0            0       0         0           0             0            2          2           2             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.012.001     0	     0	    0	    1	    4	    7	    7	    9           328                 6          96           0       0         0           30            30           30         30          30            60           2.INTERMITENTES        6           96           150        0              G.ATÉ DOZE MESES DE ESTOQUE                   25,0                                                                                          
021.001.072     1	     2	    4	    7	    11	    29	    27	    73          3.613               44         704          24      24        24          24            28           44         44          24            388          1.ORDINÁRIOS           44          704          888        0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                          
326.001.001     0	     0	    0	    0	    0	    0	    0	    1           60                  0          0            0       0         0           0             0            0          0           60            60           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
315.002.002     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.007.001     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.101     0	     0	    1	    1	    1	    4	    4	    8           8                   0          0            0       0         1           1             1            1          1           1             1            2.INTERMITENTES        0           0            0          0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                 
021.001.109     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
050.001.004     0	     0	    0	    0	    0	    0	    0	    1           10                  0          0            0       0         0           0             0            0          0           10            10           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
003.000.017     0	     0	    0	    0	    1	    3	    2	    4           70                  0          0            0       0         0           0             20           20         15          20            20           3.INATIVOS             0           0            480        0              I.INATIVOS COM ESTOQUE                        0,0                                                                               
230.001.012     2	     3	    5	    6	    7	    8	    8	    16          620                 12         192          45      60        60          45            30           30         30          30            60           2.INTERMITENTES        12          192          370        0              G.ATÉ DOZE MESES DE ESTOQUE                   31,0                                                                                            
011.001.006     3	     6	    9	    12	    19	    38	    37	    71          5.760               120        1.920        60      120       120         90            60           75         90          60            255          1.ORDINÁRIOS           120         1.920        1.770      150            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                   
325.012.002     0	     1	    1	    1	    1	    1	    1	    1           30                  1          16           0       30        30          30            30           30         30          30            30           2.INTERMITENTES        1           16           0          16             B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                        
325.044.001     0	     0	    0	    0	    0	    1	    1	    1           30                  0          0            0       0         0           0             0            30         30          30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
228.001.001     1	     2	    3	    4	    4	    7	    6	    7           330                 6          96           30      30        30          30            30           30         30          30            90           2.INTERMITENTES        6           96           240        0              G.ATÉ DOZE MESES DE ESTOQUE                   40,0                                                                                          
228.001.010     0	     0	    0	    0	    0	    0	    0	    2           60                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
228.001.006     0	     0	    0	    0	    0	    0	    0	    11          330                 0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.023     0	     1	    1	    2	    4	    7	    7	    9           330                 6          96           0       30        30          30            30           30         30          30            60           2.INTERMITENTES        6           96           180        0              G.ATÉ DOZE MESES DE ESTOQUE                   30,0                                                                                          
325.019.002     0	     0	    0	    0	    0	    1	    1	    1           10                  0          0            0       0         0           0             0            10         10          10            10           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
311.002.002     1	     1	    2	    2	    2	    3	    3	    4           10                  0          0            2       2         2           2             2            2          2           2             4            2.INTERMITENTES        0           0            6          0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                 
056.002.001     0	     0	    0	    0	    0	    0	    0	    4           10                  0          0            0       0         0           0             0            0          0           2             4            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
230.001.013     0	     0	    0	    0	    0	    0	    0	    25          196                 0          0            0       0         0           0             0            0          0           8             20           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
311.001.021     0	     0	    0	    0	    0	    8	    7	    17          47                  0          0            0       0         0           0             0            2          2           2             6            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
315.002.001     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
001.000.020     0	     0	    0	    0	    0	    0	    0	    2           60                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
306.001.002     4	     8	    11	    15	    23	    37	    37	    52          4.095               190        3.040        130     180       190         190           130          70         70          35            375          1.ORDINÁRIOS           190         3.040        3.390      0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                                
012.001.002     2	     6	    10	    12	    17	    32	    31	    69          3.150               65         1.040        65      45        30          35            30           35         30          40            230          1.ORDINÁRIOS           65          1.040        430        610            D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                              
325.016.003     0	     0	    0	    0	    1	    1	    1	    1           1                   0          0            0       0         0           0             1            1          1           1             1            3.INATIVOS             0           0            3          0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
021.001.107     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
012.001.004     0	     0	    0	    0	    0	    0	    0	    1           28                  0          0            0       0         0           0             0            0          0           28            28           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.074     0	     0	    0	    0	    2	    11	    10	    18          616                 0          0            0       0         0           0             59           30         30          30            60           3.INATIVOS             0           0            28         0              I.INATIVOS COM ESTOQUE                        0,0                                                                              
030.001.001     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
005.000.082     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
005.000.064     2	     4	    5	    6	    11	    20	    19	    43          3.200               62         992          88      88        90          88            90           90         90          60            150          2.INTERMITENTES        62          992          540        452            E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                               
303.006.001     0	     0	    0	    0	    0	    0	    0	    2           60                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.053.001     0	     0	    0	    1	    1	    1	    1	    1           30                  1          16           0       0         0           30            30           30         30          30            30           2.INTERMITENTES        1           16           30         0              G.ATÉ DOZE MESES DE ESTOQUE                   30,0                                                                                         
325.010.001     0	     0	    0	    0	    0	    0	    0	    9           270                 0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            30         0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
302.004.001     4	     7	    11	    15	    24	    45	    44	    107         21.179              280        4.480        238     280       280         180           210          240        240         180           690          1.ORDINÁRIOS           280         4.480        1.516      2.964          D.ATÉ DOIS MESES DE ESTOQUE                   5,0                                                                                                       
021.001.103     0	     0	    0	    0	    0	    0	    0	    3           3                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
001.000.017     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
100.001.001     0	     1	    1	    1	    1	    1	    1	    1           100                 2          32           0       100       100         100           100          100        100         100           100          2.INTERMITENTES        2           32           100        0              G.ATÉ DOZE MESES DE ESTOQUE                   50,0                                                                                               
325.009.001     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.009.002     0	     0	    0	    0	    1	    1	    1	    1           30                  0          0            0       0         0           0             30           30         30          30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                         
228.001.008     0	     0	    1	    1	    1	    1	    1	    1           30                  1          16           0       0         30          30            30           30         30          30            30           2.INTERMITENTES        1           16           0          16             B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                        
228.001.007     0	     1	    3	    5	    9	    15	    14	    32          114                 2          32           0       1         1           1             1            1          2           2             31           2.INTERMITENTES        2           32           67         0              G.ATÉ DOZE MESES DE ESTOQUE                   34,0                                                                                     
005.000.016     0	     0	    0	    0	    0	    0	    0	    1           2                   0          0            0       0         0           0             0            0          0           2             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
055.001.002     1	     2	    3	    5	    7	    11	    10	    24          780                 15         240          30      30        30          30            30           30         30          30            60           2.INTERMITENTES        15          240          120        120            D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                              
303.007.005     0	     0	    0	    0	    0	    0	    0	    2           58                  0          0            0       0         0           0             0            0          0           29            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
055.001.001     1	     2	    4	    5	    7	    14	    13	    24          868                 17         272          60      45        30          30            30           30         30          30            60           2.INTERMITENTES        17          272          240        32             F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                               
325.017.001     0	     0	    0	    0	    0	    1	    1	    1           30                  0          0            0       0         0           0             0            30         30          30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
305.002.007     0	     0	    0	    0	    1	    4	    4	    7           8                   0          0            0       0         0           0             1            1          1           1             2            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
079.001.003     0	     0	    0	    0	    0	    0	    0	    1           60                  0          0            0       0         0           0             0            0          0           60            60           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.047.001     0	     0	    0	    0	    0	    1	    1	    1           30                  0          0            0       0         0           0             0            30         30          30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.113     0	     0	    0	    0	    2	    2	    2	    2           2                   0          0            0       0         0           0             1            1          1           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.053.002     0	     0	    0	    1	    1	    1	    1	    1           60                  1          16           0       0         0           60            60           60         60          60            60           2.INTERMITENTES        1           16           60         0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    60,0                                                                                                        
325.004.005     0	     0	    1	    1	    2	    2	    2	    2           2                   0          0            0       0         1           1             1            1          1           1             1            2.INTERMITENTES        0           0            47         0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                  
230.001.018     1	     2	    3	    4	    4	    10	    10	    16          32                  1          16           2       2         2           2             2            2          2           2             2            2.INTERMITENTES        1           16           8          8              D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                   
021.001.028     0	     0	    0	    0	    0	    0	    0	    1           20                  0          0            0       0         0           0             0            0          0           20            20           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.052.001     0	     0	    0	    0	    1	    1	    1	    1           20                  0          0            0       0         0           0             20           20         20          20            20           3.INATIVOS             0           0            10         0              I.INATIVOS COM ESTOQUE                        0,0                                                                              
325.046.001     0	     0	    1	    1	    1	    2	    2	    2           2                   0          0            0       0         1           1             1            1          1           1             1            2.INTERMITENTES        0           0            0          0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                 
325.028.005     0	     0	    0	    0	    1	    1	    1	    1           60                  0          0            0       0         0           0             60           60         60          60            60           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                         
021.001.091     0	     0	    0	    0	    0	    0	    0	    1           10                  0          0            0       0         0           0             0            0          0           10            10           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.090     3	     4	    5	    5	    10	    17	    16	    44          4.201               81         1.296        60      120       180         180           90           60         90          60            240          2.INTERMITENTES        81          1.296        710        586            E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                                 
325.001.001     1	     2	    2	    3	    3	    3	    3	    4           151                 3          48           60      60        60          60            60           60         60          45            60           2.INTERMITENTES        3           48           240        0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    80,0                                                                                                         
